reference_number	pmid	doi	status	pubmed_title	openalex_title	title_similarity	openalex_id
1	34746001	10.3389/fonc.2021.761379	verified	The Molecular Basis and Therapeutic Aspects of Cisplatin Resistance in Oral Squamous Cell Carcinoma.	The Molecular Basis and Therapeutic Aspects of Cisplatin Resistance in Oral Squamous Cell Carcinoma	1.0	https://openalex.org/W3208994122
2	21892204	10.1038/onc.2011.384	verified	Molecular mechanisms of cisplatin resistance.	Molecular mechanisms of cisplatin resistance	1.0	https://openalex.org/W2141037581
3	26491674	10.1155/2015/508587	verified	Osteopontin Involves Cisplatin Resistance and Poor Prognosis in Oral Squamous Cell Carcinoma.	Osteopontin Involves Cisplatin Resistance and Poor Prognosis in Oral Squamous Cell Carcinoma	1.0	https://openalex.org/W1959647463
4	21342274	10.1111/j.1600-0714.2011.01015.x	verified	Markedly increased Oct4 and Nanog expression correlates with cisplatin resistance in oral squamous cell carcinoma.	Markedly increased Oct4 and Nanog expression correlates with cisplatin resistance in oral squamous cell carcinoma	1.0	https://openalex.org/W1734170005
5	33434185	10.1172/jci.insight.143643	verified	CMTM6 drives cisplatin resistance by regulating Wnt signaling through the ENO-1/AKT/GSK3β axis.	CMTM6 drives cisplatin resistance by regulating Wnt signaling through the ENO-1/AKT/GSK3β axis	1.0	https://openalex.org/W3120030016
6	41506484	10.1016/j.jbc.2025.111126	verified	Single-cell analysis identifies BASP1 as a driver of drug resistance and cell plasticity in oral squamous cell carcinoma.	Single-cell analysis identifies BASP1 as a driver of drug resistance and cell plasticity in oral squamous cell carcinoma	1.0	https://openalex.org/W7118614123
7	29198524	10.1016/j.cell.2017.10.044	verified	Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer.	Single-Cell Transcriptomic Analysis of Primary and Metastatic Tumor Ecosystems in Head and Neck Cancer	1.0	https://openalex.org/W2771542157
8	34584091	10.1038/s41467-021-25960-2	verified	Confronting false discoveries in single-cell differential expression.	Confronting false discoveries in single-cell differential expression	1.0	https://openalex.org/W3202649987
9	29195078	10.1016/j.cell.2017.10.049	verified	A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles.	A Next Generation Connectivity Map: L1000 Platform and the First 1,000,000 Profiles	1.0	https://openalex.org/W2612467560
10	32613204	10.1038/s43018-019-0018-6	verified	Discovering the anti-cancer potential of non-oncology drugs by systematic viability profiling.	Discovering the anticancer potential of non-oncology drugs by systematic viability profiling	1.0	https://openalex.org/W3003119869
11	38215750	10.1016/j.ccell.2023.12.016	verified	A comprehensive clinically informed map of dependencies in cancer cells and framework for target prioritization.	A comprehensive clinically informed map of dependencies in cancer cells and framework for target prioritization	1.0	https://openalex.org/W4390753675
12	25631445	10.1038/nature14129	verified	Comprehensive genomic characterization of head and neck squamous cell carcinomas.	Comprehensive genomic characterization of head and neck squamous cell carcinomas	1.0	https://openalex.org/W1986241711
13	35706019	10.1186/s12929-022-00824-z	verified	MicroRNA-485-5p targets keratin 17 to regulate oral cancer stemness and chemoresistance via the integrin/FAK/Src/ERK/β-catenin pathway.	MicroRNA-485-5p targets keratin 17 to regulate oral cancer stemness and chemoresistance via the integrin/FAK/Src/ERK/β-catenin pathway	1.0	https://openalex.org/W4282918419
14	30400809	10.1186/s12859-018-2435-4	verified	Single sample scoring of molecular phenotypes.	Single sample scoring of molecular phenotypes	1.0	https://openalex.org/W2900032527
15	34013329	10.1093/bib/bbab161	verified	Reconciling multiple connectivity scores for drug repurposing.	Reconciling multiple connectivity scores for drug repurposing	1.0	https://openalex.org/W3087600159
16	29083409	10.1038/ng.3984	verified	Computational correction of copy number effect improves specificity of CRISPR-Cas9 essentiality screens in cancer cells.	Computational correction of copy number effect improves specificity of CRISPR–Cas9 essentiality screens in cancer cells	1.0	https://openalex.org/W2735132087
