pert_id	pert_iname	state5_reversal	q25	q75	n_lincs_cell_lines	fraction_positive	state5_rank	state5_percentile	LOSO_median_percentile	LOSO_min_percentile	frozen_axis_rank	frozen_axis_reversal	LOPO_candidate_set_min_percentile	evidence_tier	prism_uadt_n_cell_lines	prism_uadt_median_LFC	prism_pan_median_LFC	PRISM_supported	state5_robust	frozen_axis_top10pct	evidence_count	priority_class	identity	mechanism	direct_oscc	combination	negative	maximum_claim	pmids	identity_resolved	direct_OSCC_cisplatin_evidence	PRISM_depletion	dual_transcriptomic
BRD-K31342827	bisindolylmaleimide	0.09872194	0.07124325	0.30221757	7	0.85714287	296.0	0.8314285714285714	0.9874285714285714	0.9857142857142858	66.0	0.3627108	0.78	A_LINCS_PLUS_UADT_PRISM	39.0	-0.3200964763623768	-0.3939610062407084	True	True	True	3	A_three-way	Unresolved BRD-K31342827 screening reagent	Do not assign: class members differ in PKC and transporter activity	None located	No compound-specific cisplatin evidence located	Exact structure and target unresolved	Three-screen computational hit requiring identity resolution	26657401|17575116	False	False	True	True
BRD-A06916187	CPI-613	0.4259385	0.30928382	0.52311546	7	1.0	2.0	0.9994285714285714	1.0	0.9994285714285714	9.0	0.61981934	1.0	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Devimistat; lipoate analogue	Mitochondrial pyruvate- and α-ketoglutarate-dehydrogenase perturbation	No direct OSCC validation located	Preclinical synergy with gemcitabine/cisplatin in biliary cancer	Phase III pancreatic and AML trials did not establish benefit	Leading dual-transcriptomic predicted sensitizer	37115501|39088774|40454396	True	False	False	True
BRD-K77771411	moxonidine	0.24366331	0.21719238	0.261195	7	1.0	20.0	0.9891428571428572	0.9977142857142856	0.9971428571428572	15.0	0.5830711	0.92	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Moxonidine	Imidazoline/adrenergic receptor agonist	None located	None located	No PRISM evidence	Dual-transcriptomic hypothesis only		True	False	False	True
BRD-A42699921	teriflunomide	0.23425904	-0.02045216	0.2656445	7	0.71428573	24.0	0.9868571428571428	0.876	0.848	72.0	0.34418762	0.22	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Teriflunomide	Dihydroorotate dehydrogenase inhibitor	None located in this audit	No direct cisplatin-resensitization evidence verified	No PRISM evidence	Dual-transcriptomic hypothesis only		True	False	False	True
BRD-K03816923	rottlerin	0.20377299	0.08523189	0.24689016	7	0.85714287	55.0	0.9691428571428572	0.96	0.952	20.0	0.6255225	0.8	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Rottlerin	Pleiotropic mitochondrial/kinase probe; not a selective PKCδ inhibitor	None verified	None verified	Mechanistically promiscuous; no PRISM evidence	Low-specificity transcriptomic hypothesis		True	False	False	True
BRD-K89732114	trifluoperazine	0.1941416	0.112603426	0.31163135	7	1.0	63.0	0.9645714285714284	0.9211428571428572	0.9051428571428572	63.0	0.40544626	0.675	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Trifluoperazine	Dopamine-receptor antagonist with calmodulin-related effects	None verified	No direct OSCC cisplatin evidence verified	No PRISM evidence	Dual-transcriptomic hypothesis only		True	False	False	True
BRD-K57080016	selumetinib	0.14270025	0.045892753	0.21628614	17	0.88235295	152.0	0.9137142857142856	0.8342857142857143	0.8125714285714286	75.0	0.36903113	0.03	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Selumetinib	MEK1/2 inhibitor	No state-specific validation	Mechanistic relevance possible, not validated by this study	No matched PRISM support in current screen	Dual-transcriptomic hypothesis only		True	False	False	True
BRD-K12343256	trametinib	0.11381523	0.027118072	0.2617463	13	0.7692308	251.0	0.8571428571428571	0.9268571428571428	0.9165714285714286	27.0	0.59337896	0.905	C_LINCS_ONLY				False	True	True	2	B_dual_transcriptomic	Trametinib	MEK1/2 inhibitor	No state-specific validation	Mechanistic relevance possible, not validated by this study	No matched PRISM support in current screen	Dual-transcriptomic hypothesis only		True	False	False	True
BRD-K01029106	picolinic-acid	0.086287096	0.05549772	0.15453802	7	1.0	348.0	0.8017142857142857	0.8828571428571429	0.8468571428571429	129.0	0.28005007	0.315	A_LINCS_PLUS_UADT_PRISM	39.0	-0.0429042712175725	0.0601126895325275	True	True	False	2	B_state5_PRISM	Picolinic acid	Metal-chelating metabolite; mechanism not established here	None located	None located	Weak PRISM depletion and no frozen-axis top-decile support	Secondary state-5/PRISM hypothesis		True	False	True	False
BRD-K15108141	gemcitabine	0.31526175	0.22603612	0.4315909	7	1.0	4.0	0.9982857142857144	0.9982857142857144	0.9982857142857144								False	True	False	1	C_state5_only	Gemcitabine	Antimetabolite/nucleoside analogue	Not a state-specific OSCC sensitization result	Established chemotherapy; state-5 LINCS-only signal here	Absent from independent frozen-axis table and current PRISM match	State-5 reversal control/hypothesis		True	False	False	False
