pert_core	pert_iname	n_uadt_lines	median_LFC	axis_LFC_rho	rho_ci_low	rho_ci_high	p	q	lincs_rank	lincs_median_reversal
BRD-A56359832	zileuton	42	0.2066885870869245	0.02876590227696297	-0.3120968250132042	0.3581626290814333	0.8564965962109845	0.8564965962109845	31.0	0.51056033
BRD-K01029106	picolinic-acid	42	-0.057130593910012156	-0.16360100478081194	-0.46475056090213185	0.16853881894520442	0.3005501482599571	0.6612103261719056	129.0	0.28005007
BRD-K05804044	AZ-628	42	-1.338383326107305	0.03200713070253627	-0.3060778915578809	0.37011822675245043	0.8405254495614816	0.8564965962109845	429.0	0.06789284
BRD-K25412176	GSK-2110183	42	-0.641980963981402	0.2501418037436189	-0.0671219878170378	0.5442458599287596	0.11011025520583889	0.40373760242140927	445.0	0.05873049
BRD-K30331124	ASC-J9	42	-0.20319005928119116	0.11141722712908193	-0.1919796517716505	0.4002480238271023	0.4823879226848895	0.8564965962109845	144.0	0.31421658
BRD-K31342827	bisindolylmaleimide	42	-0.335514762327799	-0.03848958755368285	-0.33161825037622966	0.26674547627877165	0.8087779551086357	0.8564965962109845	66.0	0.3627108
BRD-K31731454	pemirolast	42	-0.005098960427521051	0.06571590632849851	-0.27798394613382665	0.37601230977934186	0.6792531225591419	0.8564965962109845	857.0	-0.1472119
BRD-K45152786	merbarone	42	0.0251974021030702	-0.25176241795640547	-0.5239064634838795	0.0822097810959527	0.10774872510724319	0.40373760242140927	344.0	0.12358777
BRD-K76205745	losartan	42	-0.0958463563181044	-0.1874240337087756	-0.4377346885394574	0.08119079017059767	0.23461363890282338	0.6451875069827643	50.0	0.45804715
BRD-K80267133	aminosalicylic-acid	42	0.0499851694919078	-0.2731545255651892	-0.5496803858741022	0.05265743300109871	0.0800704582403961	0.40373760242140927	512.0	0.021598063
BRD-K92723993	imatinib	42	-0.013359289460921561	0.04772708856656674	-0.2573442196766594	0.34282047461649734	0.7640676933829142	0.8564965962109845	734.0	-0.075016916
