integrated_rank	lincs_rank	pert_core	pert_iname	experimental_priority_class	evidence_tier	integrated_score	lincs_median_reversal	n_lincs_cell_lines	lincs_fraction_cell_lines_positive	LOPO_candidate_set_min_percentile	QC_top100_fraction	query_deletion_top100_frequency	prism_uadt_n_cell_lines	prism_uadt_median_LFC	prism_pan_median_LFC	robust_LINCS_candidate	moa	target	clinical_phase	annotation_match_method
3.0	4.0	BRD-K44442813	pidotimod	C_ROBUST_LINCS	C_LINCS_ONLY	0.9984571428571428	0.6425961	7	1.0	0.97	0.8	0.9				True	interferon receptor agonist|interleukin receptor agonist		Launched	NORMALIZED_EXACT_PERT_INAME
4.0	7.0	BRD-K85307935	novobiocin	C_ROBUST_LINCS	C_LINCS_ONLY	0.9969142857142856	0.62279034	7	1.0	0.835	1.0	0.69				True	bacterial DNA gyrase inhibitor		Launched	NORMALIZED_EXACT_PERT_INAME
7.0	13.0	BRD-A30051119	amikacin	C_ROBUST_LINCS	C_LINCS_ONLY	0.9938285714285714	0.5698282	7	1.0	0.95	1.0	0.59				True	bacterial 30S ribosomal subunit inhibitor		Launched	NORMALIZED_EXACT_PERT_INAME
10.0	5.0	BRD-K34185671	AMG-517	C_ROBUST_LINCS	C_LINCS_ONLY	0.9836571428571428	0.6867524	7	0.8571428571428571	0.97	1.0	0.53				True	TRPV antagonist	TRPV1	Phase 1	NORMALIZED_EXACT_PERT_INAME
13.0	11.0	BRD-A67097164	ifosfamide	C_ROBUST_LINCS	C_LINCS_ONLY	0.9805714285714286	0.6321161	7	0.8571428571428571	0.875	0.6	0.69				True	DNA alkylating agent	CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1	Launched	NORMALIZED_EXACT_PERT_INAME
16.0	16.0	BRD-K47554101	eperezolid	C_ROBUST_LINCS	C_LINCS_ONLY	0.9756190476190476	0.5905731	6	0.8333333333333334	0.92	1.0	0.91				True	bacterial 30S ribosomal subunit inhibitor		Phase 1	NORMALIZED_EXACT_PERT_INAME
20.0	58.0	BRD-K52618540	inositol	C_ROBUST_LINCS	C_LINCS_ONLY	0.9706857142857144	0.35448045	7	1.0	0.91	0.6	0.64				True	insulin sensitizer	CDIPT	Launched	NORMALIZED_EXACT_PERT_INAME
22.0	33.0	BRD-K36927236	glibenclamide	C_ROBUST_LINCS	C_LINCS_ONLY	0.9692571428571428	0.5085028	7	0.8571428571428571	0.8	1.0	0.72				True				UNMATCHED
27.0	10.0	BRD-K47639036	flavoxate	C_ROBUST_LINCS	C_LINCS_ONLY	0.9668	0.7089547	7	0.7142857142857143	0.96	1.0	0.53				True	acetylcholine receptor antagonist	CHRM1|CHRM2	Launched	NORMALIZED_EXACT_PERT_INAME
34.0	19.0	BRD-K53581288	baricitinib	C_ROBUST_LINCS	C_LINCS_ONLY	0.9621714285714286	0.62847525	7	0.7142857142857143	0.805	1.0	0.74				True	JAK inhibitor	JAK1|JAK2	Launched	NORMALIZED_EXACT_PERT_INAME
35.0	20.0	BRD-K03816923	rottlerin	C_ROBUST_LINCS	C_LINCS_ONLY	0.9616571428571428	0.6255225	7	0.7142857142857143	0.8	0.6	0.59				True				UNMATCHED
42.0	52.0	BRD-K46290096	preladenant	C_ROBUST_LINCS	C_LINCS_ONLY	0.957104761904762	0.4198764	6	0.8333333333333334	0.835	1.0	0.51				True	adenosine receptor antagonist	ADORA1|ADORA2A|ADORA2B|ADORA3	Phase 3	NORMALIZED_EXACT_PERT_INAME
