integrated_rank	lincs_rank	pert_core	pert_iname	experimental_priority_class	evidence_tier	integrated_score	lincs_median_reversal	n_lincs_cell_lines	lincs_fraction_cell_lines_positive	LOPO_candidate_set_min_percentile	QC_top100_fraction	query_deletion_top100_frequency	prism_uadt_n_cell_lines	prism_uadt_median_LFC	prism_pan_median_LFC	robust_LINCS_candidate	moa	target	clinical_phase	annotation_match_method
263.0	66.0	BRD-K31342827	bisindolylmaleimide	A_UADT_PRISM_SUPPORTED	A_LINCS_PLUS_UADT_PRISM	0.828922077922078	0.3627108	7	0.8571428571428571	0.78	0.4	0.21	39.0	-0.3200964763623768	-0.3939610062407084	False				UNMATCHED
267.0	129.0	BRD-K01029106	picolinic-acid	A_UADT_PRISM_SUPPORTED	A_LINCS_PLUS_UADT_PRISM	0.8273038961038961	0.28005007	7	0.8571428571428571	0.315	0.0	0.01	39.0	-0.0429042712175725	0.0601126895325275	False	chelating agent		Phase 2	NORMALIZED_EXACT_PERT_INAME
269.0	144.0	BRD-K30331124	ASC-J9	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.8258363636363637	0.31421658	7	0.5714285714285714	0.025	0.0	0.0	39.0	-0.2269129877289025	-0.03340076487739	False	androgen receptor enhancer	AR	Phase 2	NORMALIZED_EXACT_PERT_INAME
282.0	429.0	BRD-K05804044	AZ-628	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.8154857142857144	0.06789284	24	0.5		0.0	0.0	39.0	-1.2094804937579997	-0.8141793349745818	False	RAF inhibitor	BRAF|RAF1	Preclinical	NORMALIZED_EXACT_PERT_INAME
342.0	445.0	BRD-K25412176	GSK-2110183	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.7857818181818182	0.05873049	7	0.5714285714285714		0.0	0.07	39.0	-0.6033411553072265	-0.3696892526201502	False	AKT inhibitor	AKT1|AKT2|AKT3	Phase 2	NORMALIZED_EXACT_PERT_INAME
387.0	50.0	BRD-K76205745	losartan	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.760574025974026	0.45804715	7	0.7142857142857143	0.705	0.5	0.54	39.0	0.0008618433587792	-0.0811848119688095	False	angiotensin receptor antagonist	AGTR1	Launched	NORMALIZED_EXACT_PERT_INAME
525.0	31.0	BRD-A56359832	zileuton	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.6853766233766234	0.51056033	7	0.8571428571428571	0.805	0.5	0.96	39.0	0.2192361204442679	0.1585561184679225	False	leukotriene synthesis inhibitor|lipoxygenase inhibitor	ALOX5	Launched	NORMALIZED_EXACT_PERT_INAME
579.0	344.0	BRD-K45152786	merbarone	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.6447974025974027	0.12358777	7	0.5714285714285714		0.0	0.01	39.0	0.0167003609370675	0.0132468540204194	False	topoisomerase inhibitor	TOP2A	Phase 2	NORMALIZED_EXACT_PERT_INAME
732.0	512.0	BRD-K80267133	aminosalicylic-acid	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.5601792207792208	0.021598063	7	0.5714285714285714				39.0	0.0497576890985903	0.0235721813411096	False				UNMATCHED
864.0	857.0	BRD-K31731454	pemirolast	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.4868155844155845	-0.1472119	7	0.2857142857142857				39.0	0.008570231413604	0.0276265004562133	False	mediator release inhibitor	HRH1	Launched	NORMALIZED_EXACT_PERT_INAME
969.0	734.0	BRD-K92723993	imatinib	B_PAN_PRISM_SUPPORTED	B_LINCS_PLUS_PAN_PRISM	0.4335323147440795	-0.075016916	17	0.4117647058823529				39.0	0.061447396884418	-0.002659361966751	False	Bcr-Abl kinase inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor	ABL1|CSF1R|DDR1|KIT|NTRK1|PDGFRA|PDGFRB|RET	Launched	NORMALIZED_EXACT_PERT_INAME
