program	pooled_rho	GSE172577_rho	GSE215403_rho	stratified_rho	ci_low	ci_high	p_perm	direction_concordant	p_bh
Squamous differentiation	0.040247678018575844	-0.3142857142857143	-0.7272727272727274	-0.6822429906542057	-0.9391943079443079	-0.2	0.007439851202975941	True	0.0371992560148797
Apoptosis	0.09391124871001032	-0.2	-0.3706293706293707	-0.35202492211838005	-0.7806473046833138	0.2645161290322581	0.21127577448451032	True	0.3149079875545346
DNA repair	-0.25902992776057787	0.14285714285714288	-0.006993006993006993	0.009345794392523366	-0.6000000000000001	0.6952519648636153	0.9820403591928162	False	0.9820403591928162
Inflammatory NF-kB	0.4757481940144479	-0.2571428571428572	0.22377622377622378	0.17133956386292834	-0.4563881681926368	0.7022653721682848	0.5579688406231875	False	0.6199653784702084
Oxidative phosphorylation	-0.09184726522187822	0.14285714285714288	0.2797202797202798	0.264797507788162	-0.3508196721311475	0.7124600638977636	0.35585288294234113	True	0.4448161036779264
EMT	-0.09597523219814243	0.14285714285714288	0.3706293706293707	0.3457943925233645	-0.2611464968152867	0.7967239136091594	0.22043559128817425	True	0.3149079875545346
Hypoxia	0.4716202270381837	-0.028571428571428574	0.5524475524475525	0.48909657320872274	-0.041807406944921376	0.7891373801916933	0.07371852562948741	False	0.14743705125897483
Cell cycle	-0.08152734778121776	0.7714285714285715	0.4755244755244756	0.5077881619937695	-0.16199621570482492	0.8436608993612248	0.05979880402391952	True	0.14743705125897483
Interferon response	0.29205366357069146	0.8285714285714287	0.5104895104895105	0.545171339563863	-0.05806451612903227	0.9050632911392404	0.04375912481750365	True	0.14586374939167884
Unfolded-protein response	0.6883384932920537	-0.5428571428571429	0.8391608391608393	0.6884735202492213	0.34201744247136706	0.8785942492012779	0.006339873202535949	False	0.0371992560148797
