target	n_uadt	n_other	uadt_median_gene_effect	other_median_gene_effect	uadt_vs_other_cliff_delta	selectivity_p	n_axis_dependency	axis_dependency_rho	rho_ci_low	rho_ci_high	axis_dependency_p	selectivity_q	axis_dependency_q	random_signature_empirical_p	random_signature_q
AKT1	58	1008	-0.0761344792539291	-0.0975803973593593	0.16998494800218938	0.02931966276574231	58	-0.09089790519548432	-0.3685280274166114	0.22228706418020597	0.49739445324416043	0.12855257708907705	0.8772714429658499	0.4750499001996008	0.9155023286759814
AKT2	58	1008	-0.025626927226039098	-0.07290479578706704	0.19978106185002736	0.01043178036676481	58	-0.13144052416253962	-0.3722656889341028	0.12956265852842197	0.3253586421297183	0.12855257708907705	0.8772714429658499	0.2275449101796407	0.8835662009314703
AKT3	58	1008	0.1115360275187811	0.06751214716148041	0.16420361247947454	0.03528791332464039	58	-0.008951367313666985	-0.26017143508593177	0.24092239640710447	0.946829390794081	0.12855257708907705	0.946829390794081	0.9321357285429142	0.9321357285429142
PDPK1	58	1008	-1.010137004289569	-1.0516776673975419	0.1765873015873016	0.023585768527073656	58	-0.2514073025931281	-0.49390811143260105	0.006723865124876376	0.05695173176440036	0.12855257708907705	0.8772714429658499	0.08383233532934131	0.8835662009314703
JAK1	58	1008	-0.047613535122405	-0.046568865527084696	0.007320744389709907	0.9253950267720785	58	-0.07274908486880557	-0.30119307181856014	0.15576766014414425	0.5873365728764877	0.9253950267720785	0.8772714429658499	0.7005988023952096	0.9155023286759814
JAK2	58	1008	0.08878458998672364	0.10884803420712225	-0.08004926108374384	0.3048472204143444	58	0.14454458765265005	-0.12491551013661384	0.39691456573939315	0.27900704165138046	0.40646296055245923	0.8772714429658499	0.3313373253493014	0.8835662009314703
BRAF	58	1008	-0.02586775509300225	-0.049539564724135995	0.1284209085933224	0.09970856799014237	58	0.14232981635854688	-0.12287109924907375	0.4022455112493207	0.2865173178856623	0.26588951464037963	0.8772714429658499	0.31137724550898205	0.8835662009314703
RAF1	58	1008	-0.11492631810542385	-0.13370194486646736	0.0960591133004926	0.21818944421110353	58	0.03349841582331047	-0.22559351748102083	0.2745709830366515	0.8028713314674452	0.40646296055245923	0.8772714429658499	0.7884231536926147	0.9155023286759814
TRPV1	58	1008	0.0202133565386073	-0.0084682266058888	0.09239874110563766	0.23624404171797686	58	-0.03011473745731951	-0.2877836972253872	0.22876036988341175	0.8224419777804843	0.40646296055245923	0.8772714429658499	0.7964071856287425	0.9155023286759814
ALOX5	58	1008	-0.16890569031285146	-0.17739092236671644	0.026922550629447182	0.7301279426942372	58	0.12393491033252331	-0.17324131040845273	0.38429005542903455	0.3539817289231211	0.778803138873853	0.8772714429658499	0.26746506986027946	0.8835662009314703
MASTL	58	1008	-1.175126974170459	-1.2523444672095576	0.08685686918445538	0.2655475693171545	58	-0.03589775139192224	-0.30527537549881	0.23176715835675127	0.7890657395985085	0.40646296055245923	0.8772714429658499	0.812375249500998	0.9155023286759814
ENSA	58	1008	-0.24917629913127531	-0.2846244176755479	0.06944444444444445	0.3733963414564714	58	0.1736442216001723	-0.10225438866646137	0.4264408059367551	0.1923782829913323	0.45956472794642633	0.8772714429658499	0.23952095808383234	0.8835662009314703
CMTM6	58	1008	-0.027490977864111248	-0.035125384807212154	0.04912424740010947	0.5289538303490553	58	-0.09864960472484545	-0.36531309063055384	0.15151027587023083	0.46128159548729863	0.6045186632560632	0.8772714429658499	0.4231536926147705	0.9155023286759814
BASP1	58	1008	0.10189074741290115	0.0895390318423531	0.08333333333333333	0.2854306256322807	58	-0.0391583869082408	-0.28518238945469293	0.21369351879124765	0.7704078712442964	0.40646296055245923	0.8772714429658499	0.7485029940119761	0.9155023286759814
SRC	58	1008	-0.1721333889912714	-0.14195259313659414	-0.09715380405035577	0.21298774323909941	58	-0.0314682088037159	-0.27870127738288614	0.22791650712342804	0.8146001029777512	0.40646296055245923	0.8772714429658499	0.8582834331337326	0.9155023286759814
ATP7B	58	1008	-0.0060612589376283	0.0201335619468546	-0.16006431308155447	0.04017268034033658	58	0.070103663600849	-0.20320070812161495	0.32214477479003406	0.6010330678673996	0.12855257708907705	0.8772714429658499	0.624750499001996	0.9155023286759814
